[Model: Town Car, CarMake: Lincoln, Year: 2007, Color: Orange]
[Model: ES, CarMake: Lexus, Year: 1999, Color: Orange]
[Model: Storm, CarMake: Geo, Year: 2000, Color: Purple]
[Model: SLR McLaren, CarMake: Mercedes-Benz, Year: 1999, Color: Maroon]
[Model: 88, CarMake: Oldsmobile, Year: 2008, Color: Orange]
[Model: Elan, CarMake: Lotus, Year: 2005, Color: Indigo]
[Model: Skylark, CarMake: Buick, Year: 2008, Color: Blue]
[Model: Accent, CarMake: Hyundai, Year: 2006, Color: Crimson]
[Model: 9-3, CarMake: Saab, Year: 2001, Color: Blue]
[Model: Silverado 1500, CarMake: Chevrolet, Year: 2009, Color: Teal]
[Model: Optima, CarMake: Kia, Year: 2004, Color: Green]
[Model: Prizm, CarMake: Chevrolet, Year: 2005, Color: Mauv]
[Model: Roadmaster, CarMake: Buick, Year: 2006, Color: Aquamarine]
[Model: Grand Marquis, CarMake: Mercury, Year: 2005, Color: Orange]
[Model: Escalade ESV, CarMake: Cadillac, Year: 2010, Color: Goldenrod]
[Model: MPV, CarMake: Mazda, Year: 2007, Color: Goldenrod]
[Model: 6000, CarMake: Pontiac, Year: 1999, Color: Khaki]
[Model: A5, CarMake: Audi, Year: 1998, Color: Maroon]
[Model: XT, CarMake: Subaru, Year: 2007, Color: Orange]
[Model: Escape, CarMake: Ford, Year: 1998, Color: Red]
[Model: Matrix, CarMake: Toyota, Year: 1998, Color: Khaki]
[Model: Neon, CarMake: Dodge, Year: 2009, Color: Yellow]
[Model: Diablo, CarMake: Lamborghini, Year: 2006, Color: Pink]
[Model: MPV, CarMake: Mazda, Year: 2007, Color: Crimson]
[Model: Tracker, CarMake: Geo, Year: 2004, Color: Aquamarine]
[Model: Continental, CarMake: Lincoln, Year: 2004, Color: Mauv]
[Model: Vega, CarMake: Chevrolet, Year: 2010, Color: Green]
[Model: 9-7X, CarMake: Saab, Year: 2008, Color: Maroon]
[Model: Cougar, CarMake: Mercury, Year: 2004, Color: Blue]
[Model: GX, CarMake: Lexus, Year: 2004, Color: Yellow]
[Model: G-Series G20, CarMake: Chevrolet, Year: 2007, Color: Maroon]
[Model: Outlook, CarMake: Saturn, Year: 2007, Color: Green]
[Model: Escape, CarMake: Ford, Year: 1999, Color: Maroon]
[Model: Spectra, CarMake: Kia, Year: 2006, Color: Red]
[Model: Ram 1500, CarMake: Dodge, Year: 2008, Color: Mauv]
[Model: CL-Class, CarMake: Mercedes-Benz, Year: 2000, Color: Fuscia]
[Model: MKX, CarMake: Lincoln, Year: 2010, Color: Violet]
[Model: 2500, CarMake: Ram, Year: 2002, Color: Blue]
[Model: Journey, CarMake: Dodge, Year: 2004, Color: Teal]
[Model: Titan, CarMake: Nissan, Year: 1999, Color: Violet]
[Model: SRX, CarMake: Cadillac, Year: 2007, Color: Blue]
[Model: Avalon, CarMake: Toyota, Year: 2010, Color: Aquamarine]
[Model: Integra, CarMake: Acura, Year: 2010, Color: Purple]
[Model: Chariot, CarMake: Mitsubishi, Year: 2010, Color: Orange]
[Model: Century, CarMake: Buick, Year: 2009, Color: Goldenrod]
[Model: Sparrow, CarMake: Corbin, Year: 2001, Color: Yellow]
